timestamp,thread_name,chat_file,delta_file,vm_version,commit_hash,status,notes
20260209-1530,AP1000_NUCLEAR_CITADEL,—,VM_DELTA_AP1000_NUCLEAR_CITADEL_20260209-1530.md,20260209-1530,07db95a,APPLIED,historical (committed pre-recovery)
20260207-2345,BESS_SOLID_STATE_REVIEW,CHAT_BESS_SOLID_STATE_REVIEW_20260207-2345.md,VM_DELTA_BESS_SOLID_STATE_REVIEW_20260207-2345.md,20260207-2345,6ae285b,APPLIED,historical (committed pre-recovery)
20260209-1045,CO2_CAPTURE_INTEGRATION,—,VM_DELTA_CO2_CAPTURE_INTEGRATION_20260209-1045.md,20260209-1045,4c2096e,APPLIED,historical (committed pre-recovery)
20260209-1415,FAT_SAT_FRAMEWORK,—,VM_DELTA_FAT_SAT_FRAMEWORK_20260209-1415.md,20260209-1415,bc6dc64,APPLIED,historical (committed pre-recovery)
20260209-2145,Financing_Readiness_PnL,—,VM_DELTA_Financing_Readiness_PnL_20260209-2145.md,20260209-2145,0df2e9a,APPLIED,historical (committed pre-recovery)
20260207-0001,H2_VENDOR_INPUT_SPECS,CHAT_H2_VENDOR_INPUT_SPECS_20260207-0001.md,VM_DELTA_H2_VENDOR_INPUT_SPECS_20260207-0001.md,20260207-0001,5063cb8,APPLIED,historical (committed pre-recovery)
20260124-0410,HARNESS_RLM_TRUE_RLM,—,VM_DELTA_HARNESS_RLM_TRUE_RLM_20260124-0410.md,20260124-0410,a89ad76,APPLIED,historical (committed pre-recovery)
20260207-2350,HCV-VM-EXTRACT-002,CHAT_HCV-VM-EXTRACT-002_20260207-2350.md,VM_DELTA_HCV-VM-EXTRACT-002_20260207-2350.md,20260207-2350,18dddf3,APPLIED,historical (committed pre-recovery)
20260208-1035,HCV-VM-EXTRACT-002,CHAT_HCV-VM-EXTRACT-002_20260208-1035.md,VM_DELTA_HCV-VM-EXTRACT-002_20260208-1035.md,20260208-1035,0d7d5ff,APPLIED,historical (committed pre-recovery)
20260208-1148,HCV-VM-EXTRACT-002,CHAT_HCV-VM-EXTRACT-002_20260208-1148.md,VM_DELTA_HCV-VM-EXTRACT-002_20260208-1148.md,20260208-1148,c7c7905,APPLIED,historical (committed pre-recovery)
20260209-0120,HCV-VM-EXTRACT-002,—,VM_DELTA_HCV-VM-EXTRACT-002_20260209-0120.md,20260209-0120,0d73ce5,APPLIED,historical (committed pre-recovery)
20260209-0715,HCV-VM-EXTRACT-002,—,VM_DELTA_HCV-VM-EXTRACT-002_20260209-0715.md,20260209-0715,460601c,APPLIED,historical (committed pre-recovery)
20260209-1420,HCV-VM-EXTRACT-002,—,VM_DELTA_HCV-VM-EXTRACT-002_20260209-1420.md,20260209-1420,3a06dc7,APPLIED,historical (committed pre-recovery)
20260209-1455,HCV-VM-EXTRACT-002,—,VM_DELTA_HCV-VM-EXTRACT-002_20260209-1455-B.md,20260209-1455,e541a7b,APPLIED,historical (committed pre-recovery)
20260209-1455,HCV-VM-EXTRACT-002,—,VM_DELTA_HCV-VM-EXTRACT-002_20260209-1455.md,20260209-1455,a0d99cf,APPLIED,historical (committed pre-recovery)
20260209-1535,HCV-VM-EXTRACT-002,—,VM_DELTA_HCV-VM-EXTRACT-002_20260209-1535.md,20260209-1535,279acf6,APPLIED,historical (committed pre-recovery)
20260209-1600,HCV-VM-EXTRACT-002,—,VM_DELTA_HCV-VM-EXTRACT-002_20260209-1600.md,20260209-1600,f30fd4a,APPLIED,historical (committed pre-recovery)
20260209-2145,HCV-VM-EXTRACT-002,—,VM_DELTA_HCV-VM-EXTRACT-002_20260209-2145.md,20260209-2145,4950a8f,APPLIED,historical (committed pre-recovery)
20260209-2230,HCV-VM-EXTRACT-002,—,VM_DELTA_HCV-VM-EXTRACT-002_20260209-2230.md,20260209-2230,33fd772,APPLIED,historical (committed pre-recovery)
20260209-2235,HCV-VM-EXTRACT-002,—,VM_DELTA_HCV-VM-EXTRACT-002_20260209-2235.md,20260209-2235,28cc54e,APPLIED,historical (committed pre-recovery)
20260209-2243,HCV-VM-EXTRACT-002,—,VM_DELTA_HCV-VM-EXTRACT-002_20260209-2243.md,20260209-2243,9380aaf,APPLIED,historical (committed pre-recovery)
20260209-2245,HCV-VM-EXTRACT-002,—,VM_DELTA_HCV-VM-EXTRACT-002_20260209-2245.md,20260209-2245,46286d6,APPLIED,historical (committed pre-recovery)
20260210-1835,HCV-VM-EXTRACT-002,—,VM_DELTA_HCV-VM-EXTRACT-002_20260210-1835.md,20260210-1835,15a556a,APPLIED,historical (committed pre-recovery)
20260210-2310,HCV-VM-EXTRACT-002,—,VM_DELTA_HCV-VM-EXTRACT-002_20260210-2310.md,20260210-2310,75b52df,APPLIED,historical (committed pre-recovery)
20260209-1430,HDS-NET-HEBER,—,VM_DELTA_HDS-NET-HEBER_20260209-1430.md,20260209-1430,a19ae97,APPLIED,historical (committed pre-recovery)
20260207-2300,HEBER-CAMPUS,CHAT_HEBER-CAMPUS_20260207-2300.md,VM_DELTA_HEBER-CAMPUS_20260207-2300.md,20260207-2300,1969ffe,APPLIED,historical (committed pre-recovery)
20260207-0001,HEBER_AUTONOMOUS_CAMPUS,CHAT_HEBER_AUTONOMOUS_CAMPUS_20260207-0001.md,VM_DELTA_HEBER_AUTONOMOUS_CAMPUS_20260207-0001.md,20260207-0001,084d173,APPLIED,historical (committed pre-recovery)
20260207-2326,HEBER_BIOMASS_SOEC_TRIMHEAT,CHAT_HEBER_BIOMASS_SOEC_TRIMHEAT_20260207-2326.md,VM_DELTA_HEBER_BIOMASS_SOEC_TRIMHEAT_20260207-2326.md,20260207-2326,eb54d60,APPLIED,historical (committed pre-recovery)
20260207-2338,HEBER_CAMPUS_H2_POWER_BALANCE,CHAT_HEBER_CAMPUS_H2_POWER_BALANCE_20260207-2338.md,VM_DELTA_HEBER_CAMPUS_H2_POWER_BALANCE_20260207-2338.md,20260207-2338,67b88ca,APPLIED,historical (committed pre-recovery)
20260207-2317,HEBER_NUC_PIVOT,CHAT_HEBER_NUC_PIVOT_20260207-2317.md,VM_DELTA_HEBER_NUC_PIVOT_20260207-2317.md,20260207-2317,3e03850,APPLIED,historical (committed pre-recovery)
20260207-2314,HEBER_OSYE_ORBITAL_LOGISTICS,CHAT_HEBER_OSYE_ORBITAL_LOGISTICS_20260207-2314.md,VM_DELTA_HEBER_OSYE_ORBITAL_LOGISTICS_20260207-2314.md,20260207-2314,8cb3266,APPLIED,historical (committed pre-recovery)
20260209-1510,HOLBROOK_DUAL_CAMPUS,—,VM_DELTA_HOLBROOK_DUAL_CAMPUS_20260209-1510.md,20260209-1510,b6df00a,APPLIED,historical (committed pre-recovery)
20260210-1512,Heber-Campus-VM-EXTRACT-002,—,VM_DELTA_Heber-Campus-VM-EXTRACT-002_20260210-1512.md,20260210-1512,c0bc9ac,APPLIED,historical (committed pre-recovery)
20251227-2355,HeberCampus,CHAT_HeberCampus_20251227-2355.md,VM_DELTA_HeberCampus_20251227-2355.md,20251227-2355,ff45a6d,APPLIED,historical (committed pre-recovery)
20260207-0318,HeberCampus,CHAT_HeberCampus_20260207-0318.md,VM_DELTA_HeberCampus_20260207-0318.md,20260207-0318,1336d30,APPLIED,historical (committed pre-recovery)
20260209-1505,HeberCampus,—,VM_DELTA_HeberCampus_20260209-1505.md,20260209-1505,3c50d16,APPLIED,historical (committed pre-recovery)
20260207-2330,HeberCampus_SOEC_DC,CHAT_HeberCampus_SOEC_DC_20260207-2330.md,VM_DELTA_HeberCampus_SOEC_DC_20260207-2330.md,20260207-2330,d7cc0ef,APPLIED,historical (committed pre-recovery)
20260208-2359,HeberCampus_VMExtract,CHAT_HeberCampus_VMExtract_20260208-2359.md,VM_DELTA_HeberCampus_VMExtract_20260208-2359.md,20260208-2359,ffb2957,APPLIED,historical (committed pre-recovery)
20260207-2359,Heber_Campus_Update,CHAT_Heber_Campus_Update_20260207-2359.md,VM_DELTA_Heber_Campus_Update_20260207-2359.md,20260207-2359,af8be22,APPLIED,historical (committed pre-recovery)
20260208-0030,Heber_Global_Roadmap,CHAT_Heber_Global_Roadmap_20260208-0030.md,VM_DELTA_Heber_Global_Roadmap_20260208-0030.md,20260208-0030,7c07dbd,APPLIED,historical (committed pre-recovery)
20260209-2140,Helium_Strategy,—,VM_DELTA_Helium_Strategy_20260209-2140.md,20260209-2140,fc9ee97,APPLIED,historical (committed pre-recovery)
20260209-2130,INTERCAMPUS_SUPERCLUSTER,—,VM_DELTA_INTERCAMPUS_SUPERCLUSTER_20260209-2130.md,20260209-2130,c068268,APPLIED,historical (committed pre-recovery)
20260209-1430,Nuclear_SOEC_Roadmap,—,VM_DELTA_Nuclear_SOEC_Roadmap_20260209-1430.md,20260209-1430,d19b9c9,APPLIED,historical (committed pre-recovery)
20260209-1625,REGULATORY_LIBRARY_BUILD,—,VM_DELTA_REGULATORY_LIBRARY_BUILD_20260209-1625.md,20260209-1625,3130d7e,APPLIED,historical (committed pre-recovery)
20260209-1415,RLM_Harness_Citation_Fix,—,VM_DELTA_RLM_Harness_Citation_Fix_20260209-1415.md,20260209-1415,ddab850,APPLIED,historical (committed pre-recovery)
20260207-2358,SDC_COMMS_PROJECTILE,CHAT_SDC_COMMS_PROJECTILE_20260207-2358.md,VM_DELTA_SDC_COMMS_PROJECTILE_20260207-2358.md,20260207-2358,4497456,APPLIED,historical (committed pre-recovery)
20260209-1335,SOECDegMonitoring,—,VM_DELTA_SOECDegMonitoring_20260209-1335.md,20260209-1335,17bf0c2,APPLIED,historical (committed pre-recovery)
20260209-1420,SOEC_MECSAI_Vendor_Monitoring,—,VM_DELTA_SOEC_MECSAI_Vendor_Monitoring_20260209-1420.md,20260209-1420,9839848,APPLIED,historical (committed pre-recovery)
20260430-0000,AEGIS_SOFTWARE_LOGO,—,VM_DELTA_AEGIS_SOFTWARE_LOGO_20260430-0000.md,20260430-0000,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260413-2359,AP1000_FLEET_CAPEX_CFO,—,VM_DELTA_AP1000_FLEET_CAPEX_CFO_20260413-2359.md,20260413-2359,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-1300,ATB_AEGIS_COMPLIANCE,—,VM_DELTA_ATB_AEGIS_COMPLIANCE_20260430-1300.md,20260430-1300,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-0000,BIOMASS_PHASING_VERIFICATION,—,VM_DELTA_BIOMASS_PHASING_VERIFICATION_20260430-0000.md,20260430-0000,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260429-2359,CAD_GIS_PIPELINE_AEGIS_INTEGRATION,—,VM_DELTA_CAD_GIS_PIPELINE_AEGIS_INTEGRATION_20260429-2359.md,20260429-2359,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260429-0001,CHAT_CONTINUITY_AND_MARKET_DOCTRINE,—,VM_DELTA_CHAT_CONTINUITY_AND_MARKET_DOCTRINE_20260429-0001.md,20260429-0001,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-1300,FED_POLICY_IMPACT_HEBER,—,VM_DELTA_FED_POLICY_IMPACT_HEBER_20260430-1300.md,20260430-1300,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-1347,HEBER_REV42_WATER_LOOPB,—,VM_DELTA_HEBER_REV42_WATER_LOOPB_20260430-1347.md,20260430-1347,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260429-2355,HOLBROOK_INDUSTRIAL_STACK,—,VM_DELTA_HOLBROOK_INDUSTRIAL_STACK_20260429-2355.md,20260429-2355,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260413-2305,LITIGATION_OVERLAY,—,VM_DELTA_LITIGATION_OVERLAY_20260413-2305.md,20260413-2305,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-0000,LOCAL_GOVERNANCE_SEQUENCING,—,VM_DELTA_LOCAL_GOVERNANCE_SEQUENCING_20260430-0000.md,20260430-0000,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-0015,LOOPB_BIOMASS_REVC,—,VM_DELTA_LOOPB_BIOMASS_REVC_20260430-0015.md,20260430-0015,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260429-2225,MECSAI_SENSOR_TRACKING,—,VM_DELTA_MECSAI_SENSOR_TRACKING_20260429-2225.md,20260429-2225,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260413-0000,NAVAJO_COUNTY_PERMITTING_IMPACT,—,VM_DELTA_NAVAJO_COUNTY_PERMITTING_IMPACT_20260413-0000.md,20260413-0000,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-1325,PRE_PHASE1_STRATEGY,—,VM_DELTA_PRE_PHASE1_STRATEGY_20260430-1325.md,20260430-1325,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-0000,REGULATORY_REPOSITORY,—,VM_DELTA_REGULATORY_REPOSITORY_20260430-0000.md,20260430-0000,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-1315,REGULATORY_REPOSITORY_BUILD,—,VM_DELTA_REGULATORY_REPOSITORY_BUILD_20260430-1315.md,20260430-1315,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-2355,ROW_PACKAGE_INIT,—,VM_DELTA_ROW_PACKAGE_INIT_20260430-2355.md,20260430-2355,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260429-0000,SOEC_VENDOR_INTERFACE,—,VM_DELTA_SOEC_VENDOR_INTERFACE_20260429-0000.md,20260429-0000,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-0005,VM_DELTA_LOGGING_DOCTRINE,—,VM_DELTA_VM_DELTA_LOGGING_DOCTRINE_20260430-0005.md,20260430-0005,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260429-2359,VM_GOVERNANCE_UPDATE,—,VM_DELTA_VM_GOVERNANCE_UPDATE_20260429-2359.md,20260429-2359,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260413-2300,WATER_STRATEGY_REFINEMENT,—,VM_DELTA_WATER_STRATEGY_REFINEMENT_20260413-2300.md,20260413-2300,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-1930,GITHUB_CANONICAL_AUTHORITY,—,VM_DELTA_GITHUB_CANONICAL_AUTHORITY_20260430-1930.md,20260430-1930,f52cb26,APPLIED,established post-recovery; doctrine self-applied per VM_DELTA_LOGGING_DOCTRINE
